Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.24500451351651E-17,-1.49186218934005E-16,0.0290820382955607,0,0,0,0.0665348672587713,0.000134459472909859,1.14603188715535E-19,-2.00386528210075E-20,0.00013445947290986,1.91287847184748E-20,0.000244427043067851,0,0,0,0,0,0,package://tehreem/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tehreem/meshes/base_link.STL,,base_link-1,base_link_cs <base_link-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00899945504963388,0.0675106811221554,1.38777878078145E-17,0,0,0,0.0542610787557387,2.96311644478969E-05,-1.42050744888731E-06,2.42943233369902E-21,3.77959457351572E-05,-9.93260819216928E-22,2.39681172828573E-05,0,0,0,0,0,0,package://tehreem/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tehreem/meshes/link1.STL,,link1-1,link1_cs <link1-1>,joint1_axis <link1-1>,joint1,revolute,0,0,0.04,1.5708,0,0,base_link,0,1,0,10,3.14,-1.57,1.57,,,,,,,,
link2,3.10255300330076E-06,0.065,-0.0462967591551163,0,0,0,0.0264323022309454,6.54085091736833E-05,-1.75759336555267E-20,6.41854689425108E-21,8.01926936084795E-06,-9.41965105811981E-21,6.26480773704926E-05,0,0,0,0,0,0,package://tehreem/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tehreem/meshes/link2.STL,,link2-1,link2_cs <link2-1>,joint2_axis <link2-1>,joint2,revolute,0.040997,0.14802,0.0465,0,0,-0.38088,link1,0,0,-1,10,3.14,-1.57,1.57,,,,,,,,
link3,-5.55111512312578E-17,0.0841958360378099,0.0425766525613882,0,0,0,0.0320911265483328,0.000136456819110822,6.43745039913268E-20,-2.13748363582812E-20,4.68765596817674E-05,5.32902400775416E-20,9.57155265710446E-05,0,0,0,0,0,0,package://tehreem/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tehreem/meshes/link3.STL,,link3-1,link3_cs <link3-1>,joint3_axis <link3-1>,joint3,revolute,0,0.13,-0.091,0,0,-1.5782,link2,0,0,1,10,3.14,-1.57,1.57,,,,,,,,
